"filename", "language", "TOML", "Rust", "GLSL", "JSON", "Markdown", "SCSS", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\bytemuck-9332a7a936037e52\lib-bytemuck.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\bytes-0838c61e4bcb0015\lib-bytes.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\bytes-4b3252724aeee745\lib-bytes.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\cfg-if-1290710c0f6e4dbb\lib-cfg-if.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\cfg-if-3b6701af31335e19\lib-cfg-if.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\console_error_panic_hook-24ca8e8d5b361e91\lib-console_error_panic_hook.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\console_error_panic_hook-dc15ea11cb149b3c\lib-console_error_panic_hook.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\fnv-2dc5ba58acd939f9\lib-fnv.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\fnv-447e668e4d8e2ea2\lib-fnv.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\form_urlencoded-e1efd9ed648d6e18\lib-form_urlencoded.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\form_urlencoded-f2cfbcd0431f42c9\lib-form_urlencoded.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-20d0f40fd7690657\lib-futures.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-a6b556bcb006edff\lib-futures.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-channel-058d53b92ca0e1be\lib-futures-channel.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-channel-19b3597a5e88f3b3\build-script-build-script-build.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-channel-b5d2b924a7b9483c\run-build-script-build-script-build.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-channel-bb251fcedca450be\build-script-build-script-build.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-channel-bca4f3a21d5d7351\lib-futures-channel.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-core-08cba8fa8404fc04\lib-futures-core.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-core-60983390c7a3d39b\lib-futures-core.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-core-880568169da928e6\build-script-build-script-build.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-core-922d446bbe272d08\build-script-build-script-build.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-core-f6cc27f824f5b0eb\run-build-script-build-script-build.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-io-8de84c43d5f0d727\lib-futures-io.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
